strategy,bin_left,bin_right,count,density
arcsinh,0.180000,0.200000,224112,0.019117695231
arcsinh,0.200000,0.220000,233041,0.019879376447
arcsinh,0.220000,0.240000,241781,0.020624935169
arcsinh,0.240000,0.260000,249369,0.021272223451
arcsinh,0.260000,0.280000,256077,0.021844444035
arcsinh,0.280000,0.300000,259515,0.022137719880
arcsinh,0.300000,0.320000,264810,0.022589405628
arcsinh,0.320000,0.340000,271889,0.023193274071
arcsinh,0.340000,0.360000,277686,0.023687782528
arcsinh,0.360000,0.380000,281698,0.024030022984
arcsinh,0.380000,0.400000,287611,0.024534426728
arcsinh,0.400000,0.420000,293367,0.025025437713
arcsinh,0.420000,0.440000,299514,0.025549802640
arcsinh,0.440000,0.460000,302036,0.025764939837
arcsinh,0.460000,0.480000,304895,0.026008824549
arcsinh,0.480000,0.500000,308258,0.026295702579
arcsinh,0.500000,0.520000,309281,0.026382968777
arcsinh,0.520000,0.540000,310577,0.026493523023
arcsinh,0.540000,0.560000,308332,0.026302015090
arcsinh,0.560000,0.580000,306179,0.026118355144
arcsinh,0.580000,0.600000,303505,0.025890251709
arcsinh,0.600000,0.620000,298258,0.025442660563
arcsinh,0.620000,0.640000,290251,0.024759629821
arcsinh,0.640000,0.660000,282677,0.024113535798
arcsinh,0.660000,0.680000,278871,0.023788868006
arcsinh,0.680000,0.700000,271817,0.023187132168
arcsinh,0.700000,0.720000,264329,0.022548374307
arcsinh,0.720000,0.740000,256219,0.021856557232
arcsinh,0.740000,0.760000,247218,0.021088734113
arcsinh,0.760000,0.780000,234181,0.019976623237
arcsinh,0.780000,0.800000,217744,0.018574478075
arcsinh,0.800000,0.820000,202750,0.017295426876
arcsinh,0.820000,0.840000,189725,0.016184339650
arcsinh,0.840000,0.860000,175772,0.014994090125
arcsinh,0.860000,0.880000,161536,0.013779699511
arcsinh,0.880000,0.900000,148307,0.012651210228
arcsinh,0.900000,0.920000,134019,0.011432383795
arcsinh,0.920000,0.940000,119491,0.010193084354
arcsinh,0.940000,0.960000,104304,0.008897569444
arcsinh,0.960000,0.980000,88026,0.007508987651
arcsinh,0.980000,1.000000,191683,0.016351365277
adaptive,0.000000,0.020000,366264,0.031243858097
adaptive,0.020000,0.040000,305639,0.026072290875
adaptive,0.040000,0.060000,339727,0.028980140499
adaptive,0.060000,0.080000,363271,0.030988542622
adaptive,0.080000,0.100000,374553,0.031950944625
adaptive,0.100000,0.120000,382192,0.032602583421
adaptive,0.120000,0.140000,384992,0.032841435185
adaptive,0.140000,0.160000,383362,0.032702389337
adaptive,0.160000,0.180000,376746,0.032138016739
adaptive,0.180000,0.200000,374270,0.031926803536
adaptive,0.200000,0.220000,370943,0.031642996457
adaptive,0.220000,0.240000,366504,0.031264331106
adaptive,0.240000,0.260000,362506,0.030923284908
adaptive,0.260000,0.280000,358641,0.030593584169
adaptive,0.280000,0.300000,352417,0.030062650818
adaptive,0.300000,0.320000,346917,0.029593477709
adaptive,0.320000,0.340000,337297,0.028772851290
adaptive,0.340000,0.360000,328165,0.027993853320
adaptive,0.360000,0.380000,317628,0.027095002948
adaptive,0.380000,0.400000,307464,0.026227971043
adaptive,0.400000,0.420000,295385,0.025197581592
adaptive,0.420000,0.440000,285339,0.024340615582
adaptive,0.440000,0.460000,275947,0.023539438521
adaptive,0.460000,0.480000,262361,0.022380495638
adaptive,0.480000,0.500000,250483,0.021367252331
adaptive,0.500000,0.520000,240484,0.020514295619
adaptive,0.520000,0.540000,229657,0.019590707029
adaptive,0.540000,0.560000,219834,0.018752763856
adaptive,0.560000,0.580000,210936,0.017993727070
adaptive,0.580000,0.600000,201163,0.017160049108
adaptive,0.600000,0.620000,190195,0.016224432625
adaptive,0.620000,0.640000,178590,0.015234477365
adaptive,0.640000,0.660000,166468,0.014200419833
adaptive,0.660000,0.680000,154252,0.013158343706
adaptive,0.680000,0.700000,142773,0.012179136776
adaptive,0.700000,0.720000,134002,0.011430933624
adaptive,0.720000,0.740000,125094,0.010671043796
adaptive,0.740000,0.760000,115919,0.009888377746
adaptive,0.760000,0.780000,106938,0.009122260711
adaptive,0.780000,0.800000,98971,0.008442642137
adaptive,0.800000,0.820000,90580,0.007726854582
adaptive,0.820000,0.840000,84490,0.007207351994
adaptive,0.840000,0.860000,77648,0.006623700646
adaptive,0.860000,0.880000,70420,0.006007121877
adaptive,0.880000,0.900000,64186,0.005475335484
adaptive,0.900000,0.920000,58257,0.004969566873
adaptive,0.920000,0.940000,51608,0.004402379237
adaptive,0.940000,0.960000,46201,0.003941139418
adaptive,0.960000,0.980000,40984,0.003496107399
adaptive,0.980000,1.000000,154089,0.013144439121
