method,num_samples,psnr_mean,psnr_std,ssim_mean,ssim_std,mse_mean,mse_std,mae_mean,mae_std,raw_psnr_mean,raw_psnr_std,raw_ssim_mean,raw_ssim_std,raw_mse_mean,raw_mse_std,raw_mae_mean,raw_mae_std
hogbom,1272,11.540926818886152,3.3131269561973884,0.29264838741789434,0.18678290793006147,0.0885752077994549,0.054675613162805024,0.2330019727360996,0.08452208591693317,5.738059610482328,9.065893650896127,0.006738963062845567,0.08311731437549448,15.201957443790466,87.25590286732688,1.1504616317135699,3.3851477650620665
multiscale,1272,11.554974255579552,3.3469082656187763,0.2941758513088963,0.18894206493006246,0.08857012033530616,0.054820921503918096,0.23298969712846404,0.08466325442479522,5.765172345923041,9.08229513924692,0.007275697449856955,0.0872106484315964,15.077694574305474,86.74456078289455,1.146296482671597,3.3748361458291276
